主题,单词,中文释义,词组/搭配
旅行与交通,travel,旅行,travel around the world
旅行与交通,trip,旅行；行程,a day trip
旅行与交通,journey,旅程；行程,a long journey
旅行与交通,voyage,航行；航海,on a voyage
旅行与交通,tour,旅游；巡回,on tour
旅行与交通,tourist,游客；观光客,a foreign tourist
旅行与交通,guide,导游；指南,a tour guide
旅行与交通,passport,护照,show one's passport
旅行与交通,visa,签证,apply for a visa
旅行与交通,ticket,票；券,a bus ticket
旅行与交通,airline,航空公司,an international airline
旅行与交通,flight,航班；飞行,flight number
旅行与交通,airport,机场,at the airport
旅行与交通,plane,飞机,by plane
旅行与交通,aircraft,飞机；航空器,an aircraft carrier
旅行与交通,helicopter,直升机,by helicopter
旅行与交通,ship,船；舰,by ship
旅行与交通,boat,小船；小舟,on a boat
旅行与交通,yacht,游艇；快艇,a sailing yacht
旅行与交通,ferry,渡船,by ferry
旅行与交通,subway,地铁,by subway
旅行与交通,train,火车；列车,by train
旅行与交通,station,车站；站,at the station
旅行与交通,bus,公共汽车,by bus
旅行与交通,coach,长途汽车,by coach
旅行与交通,taxi,出租车；的士,by taxi
旅行与交通,car,汽车；轿车,by car
旅行与交通,truck,卡车；货车,a heavy truck
旅行与交通,van,厢式货车；面包车,a delivery van
旅行与交通,bicycle,自行车；脚踏车,by bicycle
旅行与交通,bike,自行车；摩托车,ride a bike
旅行与交通,motorcycle,摩托车,by motorcycle
旅行与交通,scooter,滑板车；小型摩托车,ride a scooter
旅行与交通,wheel,车轮；轮子,a bicycle wheel
旅行与交通,road,路；道路,on the road
旅行与交通,street,街道；街,on the street
旅行与交通,avenue,大街；林荫道,on Fifth Avenue
旅行与交通,lane,小巷；车道,a fast lane
旅行与交通,bridge,桥,across a bridge
旅行与交通,tunnel,隧道；地下道,go through a tunnel
旅行与交通,highway,公路；干道,on the highway
旅行与交通,railway,铁路；铁道,by railway
旅行与交通,track,轨道；跑道,a railway track
旅行与交通,crossing,十字路口；人行横道,at the crossing
旅行与交通,traffic,交通；车流,traffic jam
旅行与交通,map,地图,a map of China
旅行与交通,compass,指南针,a magnetic compass
旅行与交通,direction,方向；指示,in this direction
旅行与交通,north,北,to the north
旅行与交通,south,南,to the south
旅行与交通,east,东,to the east
旅行与交通,west,西,to the west
旅行与交通,left,左；左边,on the left
旅行与交通,right,右；右边,on the right
旅行与交通,straight,直的；直接地,go straight
旅行与交通,corner,角；拐角,at the corner
旅行与交通,distance,距离,a long distance
旅行与交通,schedule,时刻表；日程,a train schedule
旅行与交通,departure,出发；离开,departure time
旅行与交通,arrival,到达；抵达,arrival time
旅行与交通,delay,延误；延迟,a long delay
旅行与交通,luggage,行李,carry luggage
旅行与交通,baggage,行李,check one's baggage
旅行与交通,suitcase,手提箱；行李箱,pack a suitcase
旅行与交通,backpack,背包；双肩包,carry a backpack
旅行与交通,hotel,酒店；旅馆,at a hotel
旅行与交通,hostel,青年旅舍,a youth hostel
旅行与交通,reservation,预订；预约,make a reservation
旅行与交通,booking,预订,a hotel booking
旅行与交通,reception,接待；前台,at the reception
旅行与交通,key,钥匙；关键,a room key
旅行与交通,vacation,假期；休假,on vacation
旅行与交通,holiday,假期；假日,summer holiday
旅行与交通,sightseeing,观光；游览,go sightseeing
旅行与交通,view,景色；视野,a good view
旅行与交通,scenery,风景；景色,beautiful scenery
旅行与交通,landscape,风景；景观,a natural landscape
旅行与交通,beach,海滩；海滨,on the beach
旅行与交通,sea,海；海洋,by the sea
旅行与交通,ocean,海洋；大海,in the ocean
旅行与交通,river,河；江,across the river
旅行与交通,lake,湖,by the lake
旅行与交通,mountain,山；山脉,climb a mountain
旅行与交通,hill,小山；丘陵,on the hill
旅行与交通,valley,山谷；流域,a deep valley
旅行与交通,island,岛；岛屿,on an island
旅行与交通,forest,森林,a deep forest
旅行与交通,park,公园；停车场,in the park
旅行与交通,zoo,动物园,at the zoo
旅行与交通,castle,城堡,an ancient castle
旅行与交通,museum,博物馆,visit a museum
旅行与交通,parking,停车；停车场,no parking
旅行与交通,petrol,汽油,a petrol station
衣物与颜色,clothes,衣服；衣物,a suit of clothes
衣物与颜色,clothing,衣服；服装,winter clothing
衣物与颜色,dress,连衣裙；穿着,a beautiful dress
衣物与颜色,shirt,衬衫；衬衣,a white shirt
衣物与颜色,T-shirt,T 恤,wear a T-shirt
衣物与颜色,blouse,女式衬衫,a silk blouse
衣物与颜色,sweater,毛衣；针织衫,a wool sweater
衣物与颜色,coat,外套；外衣,a winter coat
衣物与颜色,jacket,夹克；短上衣,a leather jacket
衣物与颜色,raincoat,雨衣,put on a raincoat
衣物与颜色,overcoat,大衣；外套,a long overcoat
衣物与颜色,uniform,制服,a school uniform
衣物与颜色,jeans,牛仔裤,wear jeans
衣物与颜色,trousers,裤子；长裤,a pair of trousers
衣物与颜色,pants,裤子；内衣,short pants
衣物与颜色,shorts,短裤,a pair of shorts
衣物与颜色,skirt,裙子,a long skirt
衣物与颜色,suit,套装；西装,a business suit
衣物与颜色,tie,领带；系,a silk tie
衣物与颜色,scarf,围巾；头巾,a red scarf
衣物与颜色,hat,帽子,a straw hat
衣物与颜色,cap,便帽；帽子,a baseball cap
衣物与颜色,helmet,头盔；安全帽,a safety helmet
衣物与颜色,gloves,手套,a pair of gloves
衣物与颜色,mittens,连指手套,wool mittens
衣物与颜色,socks,袜子,a pair of socks
衣物与颜色,shoes,鞋；鞋子,a pair of shoes
衣物与颜色,boots,靴子；长筒靴,a pair of boots
衣物与颜色,sneakers,运动鞋；旅游鞋,a pair of sneakers
衣物与颜色,sandals,凉鞋；拖鞋,wear sandals
衣物与颜色,slippers,拖鞋,a pair of slippers
衣物与颜色,high heels,高跟鞋,wear high heels
衣物与颜色,pocket,口袋；衣袋,in the pocket
衣物与颜色,button,纽扣；按钮,a coat button
衣物与颜色,zipper,拉链,zip up
衣物与颜色,sleeve,袖子；袖套,long sleeves
衣物与颜色,collar,衣领；领子,white collar
衣物与颜色,cotton,棉；棉布,made of cotton
衣物与颜色,silk,丝绸；丝的,silk dress
衣物与颜色,wool,羊毛；毛线,a wool sweater
衣物与颜色,leather,皮革；皮的,a leather bag
衣物与颜色,cloth,布；布料,a piece of cloth
衣物与颜色,fabric,织物；布料,silk fabric
衣物与颜色,wear,穿；磨损,wear a hat
衣物与颜色,put on,穿上,put on a coat
衣物与颜色,take off,脱下,take off shoes
衣物与颜色,try on,试穿,try on clothes
衣物与颜色,fit,适合；合身,the dress fits well
衣物与颜色,color,颜色；色彩,what color
衣物与颜色,colour,颜色（英）,favourite colour
衣物与颜色,red,红色的；红色,red flag
衣物与颜色,blue,蓝色的；蓝色,sky blue
衣物与颜色,green,绿色的；绿色,dark green
衣物与颜色,yellow,黄色的；黄色,yellow leaves
衣物与颜色,orange,橙色的；橙色,orange juice
衣物与颜色,pink,粉色的；粉色,pink flower
衣物与颜色,purple,紫色的；紫色,purple grape
衣物与颜色,brown,棕色的；棕色,brown bread
衣物与颜色,black,黑色的；黑色,black hair
衣物与颜色,white,白色的；白色,white snow
衣物与颜色,gray,灰色的；灰色,a gray cat
衣物与颜色,grey,灰色的；灰色（英）,grey hair
衣物与颜色,gold,金色的；金色,gold medal
衣物与颜色,silver,银色的；银色,silver spoon
衣物与颜色,light,浅色的；淡的,light blue
衣物与颜色,dark,深色的；暗的,dark blue
衣物与颜色,bright,鲜艳的；明亮的,bright red
衣物与颜色,pretty,漂亮的,a pretty dress
动物与自然,animal,动物；牲畜,an animal lover
动物与自然,pet,宠物；爱畜,keep a pet
动物与自然,cat,猫,play with a cat
动物与自然,kitten,小猫,a playful kitten
动物与自然,dog,狗,walk a dog
动物与自然,puppy,小狗；幼犬,a cute puppy
动物与自然,bird,鸟；禽,feed a bird
动物与自然,fish,鱼；鱼肉,swim like a fish
动物与自然,rabbit,兔子；野兔,a white rabbit
动物与自然,hamster,仓鼠,keep a hamster
动物与自然,mouse,老鼠；耗子,a little mouse
动物与自然,rat,大老鼠；鼠类,like a rat
动物与自然,monkey,猴子；顽童,a clever monkey
动物与自然,elephant,大象,an elephant trunk
动物与自然,tiger,老虎,a Bengal tiger
动物与自然,lion,狮子；勇猛的人,a male lion
动物与自然,leopard,豹,a black leopard
动物与自然,horse,马；马匹,ride a horse
动物与自然,donkey,驴；倔强的人,stubborn as a donkey
动物与自然,cow,母牛；奶牛,milk a cow
动物与自然,sheep,羊；绵羊,sheep wool
动物与自然,lamb,小羊；羔羊,gentle as a lamb
动物与自然,goat,山羊,a mountain goat
动物与自然,pig,猪；野猪,raise a pig
动物与自然,duck,鸭子；鸭肉,roast duck
动物与自然,chicken,鸡；鸡肉,a chicken farm
动物与自然,rooster,公鸡,rooster crow
动物与自然,goose,鹅；雌鹅,a wild goose
动物与自然,turkey,火鸡；土耳其,roast turkey
动物与自然,bear,熊；承受,a polar bear
动物与自然,panda,大熊猫,a giant panda
动物与自然,koala,考拉；树袋熊,koala bear
动物与自然,kangaroo,袋鼠,an Australian kangaroo
动物与自然,zebra,斑马,zebra crossing
动物与自然,giraffe,长颈鹿,a tall giraffe
动物与自然,deer,鹿,a herd of deer
动物与自然,wolf,狼,a pack of wolves
动物与自然,fox,狐狸；狡猾的人,as sly as a fox
动物与自然,frog,青蛙,a green frog
动物与自然,turtle,乌龟；海龟,a sea turtle
动物与自然,spider,蜘蛛,spider web
动物与自然,bee,蜜蜂；蜂,busy as a bee
动物与自然,butterfly,蝴蝶,a colorful butterfly
动物与自然,ant,蚂蚁,ant colony
动物与自然,fly,苍蝇,swat a fly
动物与自然,mosquito,蚊子,a mosquito bite
动物与自然,crab,螃蟹,crab claw
动物与自然,shark,鲨鱼,shark fin
动物与自然,whale,鲸；鲸鱼,a blue whale
动物与自然,dolphin,海豚,an intelligent dolphin
动物与自然,octopus,章鱼,an octopus arm
动物与自然,starfish,海星,starfish leg
动物与自然,seal,海豹；密封,a baby seal
动物与自然,penguin,企鹅,an emperor penguin
动物与自然,snake,蛇；阴险的人,a poisonous snake
动物与自然,lizard,蜥蜴,a small lizard
动物与自然,crocodile,鳄鱼；鳄梨,crocodile tears
动物与自然,eagle,鹰,a bald eagle
动物与自然,hawk,鹰隼；掠夺的人,watch like a hawk
动物与自然,owl,猫头鹰；夜猫子,wise as an owl
动物与自然,swan,天鹅,graceful as a swan
动物与自然,sparrow,麻雀,a common sparrow
动物与自然,nature,自然；本性,back to nature
动物与自然,tree,树；树木,climb a tree
动物与自然,flower,花；花朵,a bunch of flowers
动物与自然,grass,草；草地,on the grass
动物与自然,plant,植物；种植,water a plant
动物与自然,leaf,叶子；树叶,a green leaf
动物与自然,root,根；根部,root of a tree
动物与自然,seed,种子；萌芽,plant a seed
动物与自然,soil,土壤；土地,rich soil
动物与自然,rock,岩石；石头,as hard as a rock
动物与自然,stone,石头；石料,a precious stone
动物与自然,wave,波浪；波动,a big wave
动物与自然,sky,天空；天堂,in the sky
动物与自然,cloud,云；云朵,a white cloud
动物与自然,rain,雨；下雨,heavy rain
动物与自然,snow,雪；下雪,heavy snow
动物与自然,wind,风；风儿,strong wind
动物与自然,storm,暴风雨；爆发,a rainstorm
动物与自然,thunder,雷；轰隆声,thunder and lightning
动物与自然,lightning,闪电,a flash of lightning
动物与自然,rainbow,彩虹,a colorful rainbow
动物与自然,sun,太阳；阳光,under the sun
动物与自然,moon,月亮；月球,a full moon
动物与自然,star,星星；明星,see stars
动物与自然,earth,地球；土地,on the earth
动物与自然,world,世界；地球,around the world
动物与自然,environment,环境,protect the environment
动物与自然,pollution,污染,air pollution
